SYMBOL,R1,R2,R3,R4,R5,R6
0610009B22Rik,318,224,374,343,376,240
0610010F05Rik,339,364,343,456,457,303
0610010K14Rik,982,1054,1181,715,1148,883
0610012G03Rik,580,907,778,484,634,655
0610030E20Rik,462,742,827,444,715,571
0610037L13Rik,1031,801,1083,717,817,831
0610040J01Rik,0,0,0,6,0,7
1110002E22Rik,0,0,0,0,0,0
1110004F10Rik,2196,2289,2685,2433,2758,2350
1110008L16Rik,337,216,319,442,328,288
1110008P14Rik,167,211,327,362,463,388
1110012L19Rik,751,495,546,462,573,540
1110017D15Rik,0,0,60,17,0,0
1110025L11Rik,0,0,0,0,0,0
1110032A03Rik,404,605,481,283,524,362
1110032F04Rik,0,0,0,10,5,26
1110038F14Rik,548,499,764,565,729,620
1110051M20Rik,604,903,749,509,787,614
1110057P08Rik,0,0,0,0,0,0
1110059E24Rik,273,330,276,307,290,338
1110059G10Rik,410,616,372,326,410,414
1110065P20Rik,335,428,384,447,470,608
1190002N15Rik,1964,2202,1552,1953,1487,1741
1190005I06Rik,521,407,393,243,305,375
1190007I07Rik,147,231,214,104,131,109
1300017J02Rik,0,0,0,0,3,0
1500009C09Rik,0,0,0,0,0,0
1500009L16Rik,0,0,0,16,0,0
1500011B03Rik,782,908,759,556,810,501
1500015O10Rik,0,60,10,44,47,10
1520401A03Rik,17,10,0,21,40,0
1600002K03Rik,170,240,149,223,279,177
1600012H06Rik,675,837,1064,700,1130,545
1600014C10Rik,66,122,140,200,170,252
1600014C23Rik,0,0,0,0,0,0
1600015I10Rik,0,0,0,0,0,0
1600029O15Rik,62,40,49,19,31,37
1700001C02Rik,0,0,0,0,0,0
1700001C19Rik,0,0,0,7,8,6
1700001F09Rik,0,0,0,0,0,0
1700001J03Rik,23,22,22,0,5,0
1700001J11Rik,0,19,0,0,0,0
1700001K19Rik,108,117,56,28,66,63
1700001L19Rik,23,18,27,5,13,0
1700001O22Rik,22,53,126,41,58,70
1700001P01Rik,0,25,69,9,9,14
1700003E16Rik,26,12,0,14,22,14
1700003F12Rik,0,0,0,7,7,6
1700003H04Rik,0,0,0,0,0,0
1700003N22Rik,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0
1700007E05Rik,18,10,1,26,4,0
1700007K13Rik,0,77,20,45,54,31
1700008O03Rik,18,45,25,10,15,0
1700008P02Rik,0,0,0,0,0,0
1700009N14Rik,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0
1700010I14Rik,0,11,0,0,0,0
1700010N08Rik,0,0,0,0,0,0
1700011L22Rik,0,0,0,0,0,0
1700011M02Rik,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0
1700012B09Rik,0,0,0,0,0,0
1700012P22Rik,0,10,0,0,0,0
1700013F07Rik,0,0,0,0,0,0
1700013G24Rik,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0
1700014D04Rik,0,0,0,0,0,0
1700015F17Rik,0,0,0,0,0,0
1700015G11Rik,0,0,0,0,0,0
1700016C15Rik,0,0,0,6,0,5
1700016D06Rik,13,0,0,0,5,0
1700016H13Rik,0,0,0,2,5,0
1700016K19Rik,12,0,24,11,16,16
1700017B05Rik,495,567,813,637,670,720
1700017D01Rik,0,0,0,0,0,0
1700017N19Rik,0,0,0,0,0,0
1700018B08Rik,0,0,0,4,0,0
1700018F24Rik,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,8,0
1700018M17Rik,0,0,0,0,0,0
1700019A02Rik,0,0,12,0,0,0
1700019D03Rik,455,273,337,263,649,456
1700019M22Rik,0,0,0,0,0,0
1700019N19Rik,0,0,0,0,0,0
1700020A23Rik,0,11,0,0,8,0
1700020D05Rik,11,0,31,10,2,10
1700020L24Rik,0,0,0,2,4,0
1700020N01Rik,0,0,0,0,0,0
